frequency	grapheme
0.0009259259	s̰
0.0009259259	iã
0.0009259259	ʌi
0.0009259259	lʰ
0.0009259259	ʊa
0.0009259259	w̥
0.0009259259	ts̪
0.0009259259	uai
0.0009259259	iau
0.0009259259	˧˨˧
0.0009259259	ɔu
0.0009259259	ⱱ̟
0.0009259259	wa
0.0009259259	aʊ
0.0009259259	io
0.0009259259	ɥ̥
0.0009259259	ʊu
0.0009259259	ʊɪ
0.0009259259	ɔɪ
0.0009259259	ɲj
0.0009259259	ʰn̪
0.0009259259	ɛə
0.0009259259	iɔ
0.0009259259	ɑi
0.0009259259	ɡbː
0.0009259259	kpː
0.0009259259	ə̰̃
0.0009259259	t̪s
0.0009259259	ɲʰ
0.0009259259	uj
0.0009259259	aj
0.0009259259	aw
0.0009259259	t̪n̪
0.0009259259	tn
0.0009259259	pm
0.0009259259	kŋ
0.0009259259	ʈɳ
0.0009259259	tl
0.0009259259	nd̪
0.0009259259	eɪ
0.0009259259	˥˧
0.0009259259	tɕᶣ
0.0009259259	ɕᶣ
0.0009259259	sᶣ
0.0009259259	dʑᶣ
0.0009259259	ɲᶣ
0.0009259259	ʙ
0.0009259259	ɦʷ
0.0009259259	i̤ˑ
0.0009259259	ɔ̤ˑ
0.0009259259	ṳˑ
0.0009259259	e̤ˑ
0.0009259259	a̤ˑ
0.0009259259	ɛ̤ˑ
0.0009259259	ɗʷ
0.0009259259	ɓʷ
0.0009259259	m̤b̤
0.0009259259	n̤d̤ɮ̤
0.0009259259	ɦ̤
0.0009259259	mbv
0.0009259259	n̤d̤
0.0009259259	ntsʼ
0.0009259259	n̠t̠ʃʼ
0.0009259259	z̤
0.0009259259	ɪ̤
0.0009259259	kᶣ
0.0009259259	mɓ
0.0009259259	dx
0.0009259259	kǁxʼ
0.0009259259	ɡǁx
0.0009259259	kǁx
0.0009259259	kʘ
0.0009259259	ɡǀx
0.0009259259	kǀx
0.0009259259	kǃxʼ
0.0009259259	kǀxʼ
0.0009259259	oˤ
0.0009259259	bβ
0.0009259259	tɾ
0.0009259259	dɾ
0.0009259259	ndɾ
0.0009259259	u̞ː
0.0009259259	ɔ̝ː
0.0009259259	ɛ̝ː
0.0009259259	i̞ː
0.0009259259	ɛ̝
0.0009259259	mpʲ
0.0009259259	ɡʲʷ
0.0009259259	lˀ
0.0009259259	u̜
0.0009259259	i̜
0.0009259259	ə̤
0.0009259259	k̙
0.0009259259	ë̞
0.0009259259	ä
0.0009259259	ɽ̩
0.0009259259	l̠˞
0.0009259259	ʰw
0.0009259259	ʰn
0.0009259259	aʲ
0.0009259259	ʰd
0.000462963	t͈sʷ
0.000462963	x͈
0.000462963	k͈ʷ
0.000462963	s͈
0.000462963	ʃ͈
0.000462963	χ͈
0.000462963	t͈s
0.000462963	x͈ʷ
0.000462963	tsʷʼ
0.000462963	t̠͈ʃʷ
0.000462963	q͈
0.000462963	q͈ʷ
0.000462963	χ͈ʷ
0.000462963	ʃ͈ʷ
0.000462963	t̠͈ʃ
0.000462963	k̟ʲʼ
0.000462963	ʝ̟
0.000462963	x̟ʲ
0.000462963	ɬʲʼ
0.000462963	ɡ̟ʲ
0.000462963	k̟ʲʰ
0.000462963	t̻ʼ
0.000462963	ɣ̟ʲ
0.000462963	ç̟
0.000462963	ɭː
0.000462963	ˀɖ
0.000462963	ˀɡ
0.000462963	ˀd̠ʒ
0.000462963	ɪ̯
0.000462963	ʊ̯
0.000462963	ei̙
0.000462963	əɨ̙
0.000462963	o̘ː
0.000462963	ou̙
0.000462963	ɛ̘ː
0.000462963	a̟̙ː
0.000462963	ə̘ː
0.000462963	e̘ː
0.000462963	ɔ̘ː
0.000462963	ʌ̯
0.000462963	˨˩̤
0.000462963	˦˥̰
0.000462963	ə̃˞
0.000462963	a̟˞
0.000462963	u˞
0.000462963	ɑ̃˞
0.000462963	ɤ˞
0.000462963	w˞
0.000462963	ə̟
0.000462963	ŋɡ̟
0.000462963	˧˩̰
0.000462963	˧˨ˤ
0.000462963	oũ
0.000462963	eĩ
0.000462963	ŋˀ
0.000462963	˧˨̤
0.000462963	ŭ̃
0.000462963	ã̆
0.000462963	˨˧˩
0.000462963	ɛ̆̃
0.000462963	iẽ
0.000462963	ŏ̃
0.000462963	ʈr̥̠
0.000462963	ɳʈr̠̥
0.000462963	ɖr̠
0.000462963	ɳɖr̠
0.000462963	d̠͈ʒ
0.000462963	d͈
0.000462963	b͈
0.000462963	d̪̤̥
0.000462963	m̥ʷ
0.000462963	ɲ̟ʝ̟
0.000462963	ɶ̝
0.000462963	ɴː
0.000462963	kxʷ
0.000462963	t̻s̻ʰ
0.000462963	p͈ː
0.000462963	t̠͈ʃː
0.000462963	l̻̰
0.000462963	t͉s
0.000462963	s̻θ
0.000462963	t̠ːʃ
0.000462963	ɬ̻
0.000462963	xh
0.000462963	kʷʼː
0.000462963	kʷʰː
0.000462963	tsʰː
0.000462963	ã̟ː
0.000462963	ɯ̆
0.000462963	oːu
0.000462963	y̆
0.000462963	ʰts
0.000462963	ʰq
0.000462963	ʈ͉
0.000462963	ɺː
0.000462963	˦˩
0.000462963	z̞̩̃ˠ
0.000462963	z̞̩ˠ
0.000462963	r͈ː
0.000462963	ɡ͈ː
0.000462963	d͈ː
0.000462963	b͈ː
0.000462963	z͈ː
0.000462963	ʒ͈ː
0.000462963	x͈ː
0.000462963	f͈ː
0.000462963	n͈ː
0.000462963	ħ͈ː
0.000462963	ɣ͈ː
0.000462963	l͈ː
0.000462963	m͈ː
0.000462963	ɪ̠
0.000462963	ɜɪ̯
0.000462963	ʊ̈ː
0.000462963	ᶑː
0.000462963	ɢː
0.000462963	ðˤ
0.000462963	mˤ
0.000462963	bˤː
0.000462963	fʷː
0.000462963	z̪ː
0.000462963	bʷː
0.000462963	bˤ
0.000462963	mʷː
0.000462963	rˤː
0.000462963	mˤː
0.000462963	f͉
0.000462963	d̩
0.000462963	ŋ̩ʷ
0.000462963	b̩
0.000462963	ɣ̩
0.000462963	z̩
0.000462963	ɡ̩
0.000462963	v̩
0.000462963	ɡb̩
0.000462963	ɡ̩ʷ
0.000462963	cçʷʰ
0.000462963	kʟ̥͓ʼ
0.000462963	ˀd̪
0.000462963	ˀo̯
0.000462963	ɤ̯
0.000462963	ɯ̞̯
0.000462963	ɸ̃
0.000462963	ŋˑ
0.000462963	ɹ̩
0.000462963	ɭ̩
0.000462963	l̪̩
0.000462963	ð͉
0.000462963	ɔ̯
0.000462963	ɛ̯
0.000462963	n̻ʲ
0.000462963	d̻ʲ
0.000462963	t̻ʲ
0.000462963	t̻ː
0.000462963	n̻ː
0.000462963	d̻ː
0.000462963	t̻ʰː
0.000462963	l̻ː
0.000462963	ʋː
0.000462963	æẽ̯
0.000462963	ɔo̯
0.000462963	d̪̤ː
0.000462963	ɡ̤ː
0.000462963	æe̯
0.000462963	ɔõ̯
0.000462963	ɖ̤ː
0.000462963	d̠ʒ̤ː
0.000462963	b̤ː
0.000462963	ə̥
0.000462963	p͉ʲ
0.000462963	t͉ʲ
0.000462963	ioː
0.000462963	iæ
0.000462963	i̙ː
0.000462963	çː
0.000462963	pfʼ
0.000462963	ɡⁿ
0.000462963	dⁿ
0.000462963	d̠ⁿ
0.000462963	bⁿ
0.000462963	d̪ⁿ
0.000462963	ɖⁿ
0.000462963	ɐˤ
0.000462963	ɜi
0.000462963	s̪ʷː
0.000462963	d̪ʷ
0.000462963	qχʷˤʼ
0.000462963	χˤː
0.000462963	t̪ɬ̪ʷʰ
0.000462963	t̪ɬ̪ʷʼ
0.000462963	qχˤ
0.000462963	ɬ̪ʷ
0.000462963	z̪ʷ
0.000462963	qχˤː
0.000462963	χʷˤː
0.000462963	ɬ̪ʷː
0.000462963	qχˤʼ
0.000462963	t̪ʷʰ
0.000462963	qχʷˤ
0.000462963	ʈʂ͇
0.000462963	kxʼː
0.000462963	qχː
0.000462963	t̪ɬ̪ʼː
0.000462963	t̪ɬ̪ː
0.000462963	kxː
0.000462963	n̪s̪
0.000462963	*Rʲ
0.000462963	ɛo̞
0.000462963	ɛ̃ɔ̃
0.000462963	ɑ̃ɔ̃
0.000462963	ɬʟ̥͓
0.000462963	t̪s̪ˀ
0.000462963	kɬ
0.000462963	ɯ̤ə̤
0.000462963	*R̪̥
0.000462963	i̤ə̤
0.000462963	ṳə̤
0.000462963	t̪ˠʰ
0.000462963	kxʷʰ
0.000462963	ø̆
0.000462963	n̪d̪ʲ
0.000462963	t̪ʲʰ
0.000462963	r̠̙
0.000462963	n̠t̠ʃʰ
0.000462963	ɳʈʂʰ
0.000462963	ɴqʰ
0.000462963	n̪t̪s̪ʰ
0.000462963	ɛɯ
0.000462963	ɗ̠
0.000462963	ɡˡ
0.000462963	ɹ̪̥
0.000462963	ia̟
0.000462963	ɾ̠
0.000462963	i͓
0.000462963	u͓
0.000462963	ŏ
0.000462963	ɲcɕ
0.000462963	əɯ
0.000462963	r͓̪
0.000462963	j̟
0.000462963	ɳ̥
0.000462963	ŋ̥m̥
0.000462963	ɾ̪ʲ
0.000462963	ḁ
0.000462963	o̞̥
0.000462963	e̞̥
0.000462963	ãĩ
0.000462963	ɨ̃ĩ
0.000462963	ʛ̥
0.000462963	n̠t̠
0.000462963	tɦ
0.000462963	tsɦ
0.000462963	ɾ̰
0.000462963	tsˀ
0.000462963	ɘ̃ː
0.000462963	ʃ͇
0.000462963	ʒ͇
0.000462963	ɬ̪ʲʼ
0.000462963	ɮ̪ʲ
0.000462963	o̟
0.000462963	e̞ə
0.000462963	a̟i
0.000462963	ã̟ĩ
0.000462963	d̪l̪
0.000462963	ɕʼ
0.000462963	ʂʼ
0.000462963	ᴅ̪̰
0.000462963	ᴅ̪
0.000462963	s̪ˀ
0.000462963	ɐ̹̆
0.000462963	ɐ̆
0.000462963	ʉ̆
0.000462963	bʼ
0.000462963	ŋ̥ǂˀ
0.000462963	ãẽ̞ˤ
0.000462963	dzʼ
0.000462963	ao̞ˤ
0.000462963	ŋ̥ǀ͓xˀ
0.000462963	ŋ̥ǂʰ
0.000462963	dzˠ
0.000462963	ŋ̥ǃˠˀ
0.000462963	kǀ͓x
0.000462963	tsˠ
0.000462963	o̞ˤː
0.000462963	ae̞ˤ
0.000462963	ŋˤ
0.000462963	ŋǂ͓ˡ
0.000462963	o̞iˤ
0.000462963	ŋ̥ǂxˀ
0.000462963	õ̞ã
0.000462963	õ̞ˤ
0.000462963	ɡ̰ǃx
0.000462963	ɡ̰ǀ͓x
0.000462963	ãˤː
0.000462963	ɡ̤ǂ͓ˡ
0.000462963	õ̞ãˤ
0.000462963	ɡǂ͓ˡ
0.000462963	ẽ̞ũ
0.000462963	kǂ͓ˡʰ
0.000462963	ŋ̤ǀ͓
0.000462963	t̠ʃˠ
0.000462963	d̠ʒˠ
0.000462963	o̞e̞
0.000462963	õ̞ĩˤ
0.000462963	ɡ̰ǂ͓ˡx
0.000462963	ŋ̥ǂ͓ˡxˀ
0.000462963	ŋ̤ǂ
0.000462963	ɡǀ͓x
0.000462963	ɔ̃ˤː
0.000462963	ŋ̥ǂ͓ˡʰ
0.000462963	ɡǂ͓ˡx
0.000462963	ɡ̰ǂx
0.000462963	ɡ̤ǂ
0.000462963	ŋ̥ǂ͓ˡˀ
0.000462963	ãõ̞ˤ
0.000462963	ɡ̤ǀ͓
0.000462963	kǂ͓ˡ
0.000462963	kǂ͓ˡx
0.000462963	o̞aˤ
0.000462963	ŋ̤ǂ͓ˡ
0.000462963	ĩẽ̞
0.000462963	xʷː
0.000462963	t̪s̪ʷː
0.000462963	qʷː
0.000462963	t̠ʃʷː
0.000462963	ø̠
0.000462963	õ̞ũ
0.000462963	õ̞̰
0.000462963	ḭ̃
0.000462963	ã̰
0.000462963	ẽ̞̰
0.000462963	e̞̰
0.000462963	o̞̰
0.000462963	ɺ̠̰
0.000462963	hˀ
0.000462963	kǃxʰ
0.000462963	kǀ͓ˠʰ
0.000462963	ŋ̥ǃ̠ʰ
0.000462963	kǃ̠xʰ
0.000462963	kǁ͓xʰ
0.000462963	ŋ̥ǁ͓ʰ
0.000462963	ɸ̞
0.000462963	d̪z̪̤
0.000462963	t̠ʰ
0.000462963	ɪe̞
0.000462963	ɭ͓
0.000462963	ɔy
0.000462963	øy
0.000462963	æʉ
0.000462963	ɒ̝
0.000462963	ʊ̆
0.000462963	ɪ̆
0.000462963	ɯ̞̆
0.000462963	ʰs̪
0.000462963	ʰʃ
0.000462963	d̠̰
0.000462963	ɖr̠͓
0.000462963	ʈɹ̠̥
0.000462963	a̤ṳ
0.000462963	ɯ̤i̤
0.000462963	l̠̤
0.000462963	ʒ̤
0.000462963	i̤a̤
0.000462963	n̠̤
0.000462963	ɤ̤i̤
0.000462963	ṳi̤
0.000462963	i̤ɛ̤
0.000462963	ɔ̤i̤
0.000462963	ɤi
0.000462963	a̤ɯ̤
0.000462963	a̤i̤
0.000462963	o̤i̤
0.000462963	i̤ṳ
0.000462963	io̞
0.000462963	ṳa̤
0.000462963	e̞a
0.000462963	ɢʷˤ
0.000462963	qˤʰ
0.000462963	qˤʼ
0.000462963	qʷˤʼ
0.000462963	qʷˤʰ
0.000462963	ɢˤ
0.000462963	kǀ͓ˀ
0.000462963	ɡǁ͓
0.000462963	kǁ͓ˀ
0.000462963	ɡǃ̠
0.000462963	kǃ̠ˀ
0.000462963	yø̞
0.000462963	r̪̰
0.000462963	r̪̥
0.000462963	r̪ˤ
0.000462963	l̪ˤ
0.000462963	ʁ̞̰ʷ
0.000462963	qʷˀ
0.000462963	t̪ɬ̪ˀ
0.000462963	qˀ
0.000462963	ʁ̞ʷ
0.000462963	ɨ̞̃
0.000462963	d̪z̪ʲ
0.000462963	β̞ʲ
0.000462963	ʈˀ
0.000462963	ɖ̰
0.000462963	ʉ̞
0.000462963	ɑ̝
0.000462963	ĩˠ
0.000462963	n̪d̪ʷ
0.000462963	ɣ̰
0.000462963	ts͇ʰ
0.000462963	cɕʼ
0.000462963	χʼ
0.000462963	χʷʼ
0.000462963	xʷʼ
0.000462963	ɾ͓
0.000462963	uˤː
0.000462963	iˤː
0.000462963	ɲɟʝ
0.000462963	β̞ˠ
0.000462963	ɵ̃
0.000462963	ɯʌ
0.000462963	iʌ
0.000462963	ʐ̰
0.000462963	ʟ̥͓
0.000462963	e̞̠
0.000462963	o̞̟
0.000462963	t̪s̪ɦ
0.000462963	ʟ
0.000462963	r̪ˠ
0.000462963	ʔ̬
0.000462963	ɤ̞̟̃
0.000462963	kʟ̥ʼ
0.000462963	kǃ͓
0.000462963	ɣː
0.000462963	ɱfʷ
0.000462963	n̠ʃʷ
0.000462963	˨˧˨
0.000462963	↓˦˨
0.000462963	mv
0.000462963	lʔ
0.000462963	nð
0.000462963	ŋmˤ
0.000462963	ɡbˤ
0.000462963	kpˤ
0.000462963	ɠ̥ʷ
0.000462963	ɠ̥ʲ
0.000462963	aˠ
0.000462963	ɪˠ
0.000462963	ɛˠ
0.000462963	fʰ
0.000462963	ẅ
0.000462963	ɣv
0.000462963	a̠ː
0.000462963	a̠
0.000462963	ɕː
0.000462963	ʑː
0.000462963	pˤ
0.000462963	wˤ
0.000462963	jˤ
0.000462963	kǀ̪
0.000462963	kǀʷ
0.000462963	kǃ̪
0.000462963	tsʰʷ
0.000462963	kǀʰʷ
0.000462963	rʰ
0.000462963	ü
0.000462963	ʕʼ
0.000462963	yʼ
0.000462963	wʼ
0.000462963	ɹˤ
0.000462963	ʕʷʼ
0.000462963	ɹ̰ˤ
0.000462963	jʰ
0.000462963	ˀt
0.000462963	ŋb
0.000462963	kʰʲ
0.000462963	ɲcʲ
0.000462963	ˀɗ
0.000462963	ˀɟ
0.000462963	dz̃
0.000462963	p̃
0.000462963	t̃
0.000462963	pʰʷ
0.000462963	b̃ʷ
0.000462963	k̃ʷ
0.000462963	z̃
0.000462963	m̃ʷ
0.000462963	jɔ
0.000462963	eə
0.000462963	oe̞
0.000462963	ʡ
0.000462963	ɵ̤ː
0.000462963	n̥ʃ
0.000462963	n̠̥t̠ʃ
0.000462963	ɱ̥f
0.000462963	b̻
0.000462963	k̻
0.000462963	p̻
0.000462963	t̺s̺
0.000462963	o˞
0.000462963	r̺
0.000462963	n̺
0.000462963	uẽ
0.000462963	ɳʰ
0.000462963	ɪa
0.000462963	ɪʌ
0.000462963	æe
0.000462963	ɪã
0.000462963	ʊe
0.000462963	ṳa
0.000462963	ɯ̤ː
0.000462963	i̤a
0.000462963	ɤ̤ː
0.000462963	ʌ̤ː
0.000462963	ɑ̤ː
0.000462963	ɯ̤a
0.000462963	ʕ̰ʷ
0.000462963	ʕ̰
0.000462963	r̰
0.000462963	pʃʼ
0.000462963	pʃʰ
0.000462963	fʃ
0.000462963	pʷˠː
0.000462963	pʷˠ
0.000462963	mʷˠː
0.000462963	ɻː
0.000462963	ɟ̩̰
0.000462963	f̰
0.000462963	θ̰
0.000462963	ɹ̝
0.000462963	t̰s̰
0.000462963	uei
0.000462963	t̠ʃ̺ʰ
0.000462963	iou
0.000462963	ye
0.000462963	ʃ̺
0.000462963	ɔɛ
0.000462963	dzʲ
0.000462963	ɛɪ
0.000462963	ɛj
0.000462963	œy
0.000462963	ˀj̰
0.000462963	ˀw̰
0.000462963	oi̯
0.000462963	wei̯
0.000462963	au̯
0.000462963	wai̯
0.000462963	jau̯
0.000462963	ai̯
0.000462963	jai̯
0.000462963	ei̯
0.000462963	we
0.000462963	ou̯
0.000462963	jeu̯
0.000462963	wo
0.000462963	wi
0.000462963	jo
0.000462963	ui̯
0.000462963	je
0.000462963	eu̯
0.000462963	ld
0.000462963	n͉
0.000462963	eˀ
0.000462963	l͉
0.000462963	aˀ
0.000462963	m͉
0.000462963	ʂ͉
0.000462963	oˀ
0.000462963	iˀ
0.000462963	uˀ
0.000462963	k͉ʷ
0.000462963	˦ː
0.000462963	˨ː
0.000462963	ɐu
0.000462963	ɐi
0.000462963	w̞
0.000462963	ɛʊ
0.000462963	ʰɾ̪
0.000462963	ʎ̥
0.000462963	ũə
0.000462963	ɔə
0.000462963	ɛ̃ə
0.000462963	ĩə
0.000462963	ãi
0.000462963	ɯ̃ə
0.000462963	ʌə
0.000462963	uɨ
0.000462963	iɨ
0.000462963	zˠ
0.000462963	ɾ̪ˠ
0.000462963	ðˠ
0.000462963	æu
0.000462963	ɪi
0.000462963	mˠ
0.000462963	sˠ
0.000462963	ieː
0.000462963	iɛː
0.000462963	˦˥˦
0.000462963	tɬ̰
0.000462963	ʉi
0.000462963	ɫ
0.000462963	ɨ̥
0.000462963	ɛ̰̃
0.000462963	ˀl̪̥
0.000462963	ˀq
0.000462963	ˀt̪
0.000462963	ˀn̪̥
0.000462963	ˀw̥
0.000462963	ˀt̪ɬ
0.000462963	ˀt̪s
0.000462963	ˀj̥
0.000462963	ˀm̥
0.000462963	ˀkʷ
0.000462963	ɑʊ
0.000462963	æɪ
0.000462963	ʎʼ
0.000462963	ʎʰ
0.000462963	ɲʼ
0.000462963	ŋʷː
0.000462963	ej
0.000462963	ɛw
0.000462963	jɛ
0.000462963	ow
0.000462963	ɛu
0.000462963	ɛ̙ː
0.000462963	a̙ˠ
0.000462963	ɔ̙
0.000462963	ɛ̙ˠ
0.000462963	ɔ̙ː
0.000462963	a̙ː
0.000462963	ɛ̙
0.000462963	ɪ̙ˠ
0.000462963	ɪ̙ː
0.000462963	a̙
0.000462963	oj
0.000462963	ɡɦ
0.000462963	lɦ
0.000462963	nɦ
0.000462963	ɟɦ
0.000462963	bɦ
0.000462963	mɦ
0.000462963	ɖɦ
0.000462963	d̪ɦ
0.000462963	ɳɦ
0.000462963	ʉ̟
0.000462963	ɧ
0.000462963	tʰʲ
0.000462963	dz̪
0.000462963	tçʰ
0.000462963	cɲ
0.000462963	ʊɔ
0.000462963	ɪɛ
0.000462963	ɲʄ
0.000462963	ɑ̃ĩ
0.000462963	ɑ̃õ
0.000462963	ẽĩ
0.000462963	ɑu
0.000462963	ɑe
0.000462963	õũ
0.000462963	ɑo
0.000462963	z̥
0.000462963	ɣ̥
0.000462963	x̥
0.000462963	ɴɢ
0.000462963	oʊ
0.000462963	aɔ
0.000462963	eɔ
0.000462963	iʊ
0.000462963	uɛ
0.000462963	oɛ
0.000462963	oɪ
0.000462963	eʊ
0.000462963	uɪ
0.000462963	˥˧̰
0.000462963	˧˩̤
0.000462963	a̰ḭ
0.000462963	a̰ṵ
0.000462963	˨˥
0.000462963	u̙
0.000462963	o̙
0.000462963	o̘
0.000462963	u̘
0.000462963	e̘
0.000462963	i̙
0.000462963	i̘
0.000462963	e̙
0.000462963	t̠n̠
0.000462963	ʃʰ
0.000462963	mw
0.000462963	ʑᶣ
0.000462963	lᶣ
0.000462963	ŋmʲ
0.000462963	br
0.000462963	ŋɡː
0.000462963	mbː
0.000462963	ndː
0.000462963	ʔʲː
0.000462963	t̠ʃʱ
0.000462963	wʱ
0.000462963	tʱ
0.000462963	tʷʰ
0.000462963	pkʰ
0.000462963	bɡ
0.000462963	pʱ
0.000462963	kʷʱ
0.000462963	tsʱ
0.000462963	eʲ
0.000462963	↓˦↓˦
0.000462963	sʲʷ
0.000462963	a̰ˑ
0.000462963	o̰ː
0.000462963	o̰ˑ
0.000462963	ḭː
0.000462963	ɛ̰ː
0.000462963	ɛ̰ˑ
0.000462963	ɔ̰ˑ
0.000462963	ɔ̰ː
0.000462963	ḛˑ
0.000462963	ḛː
0.000462963	o̤ˑ
0.000462963	a̰ː
0.000462963	ḭˑ
0.000462963	l̥ː
0.000462963	ɱð
0.000462963	uːʌ
0.000462963	iːɛ
0.000462963	iːe
0.000462963	uːa
0.000462963	ɰ̃
0.000462963	ɤ̃ː
0.000462963	d̤z̤
0.000462963	mbz
0.000462963	psʰ
0.000462963	tlʰ
0.000462963	n̠̩d̠ʒ
0.000462963	d̤ʒ̤
0.000462963	d̤ɮ̤
0.000462963	ŋ̤ɡǃ
0.000462963	b̤z̤
0.000462963	n̤ɡ̤
0.000462963	ndl
0.000462963	b̤v̤
0.000462963	ntʼ
0.000462963	ɡ̤ǁ
0.000462963	ŋ̤ǀ
0.000462963	n̤d̤z̤
0.000462963	d̠̤ʒ̤
0.000462963	ŋǃʼ
0.000462963	mpʼ
0.000462963	ŋǁʼ
0.000462963	ɮ̤
0.000462963	ŋ̤ǁ
0.000462963	n̠̤d̠̤ʒ
0.000462963	mpfʼ
0.000462963	ntlʼ
0.000462963	ɲ̤ɟ̤
0.000462963	ɲcʼ
0.000462963	m̤b̤v̤
0.000462963	ɣ̤
0.000462963	ɡ̤ǀ
0.000462963	ŋkʼ
0.000462963	ŋ̤ɡ̤
0.000462963	l̪ʷ
0.000462963	ɳɖr
0.000462963	jʔ
0.000462963	y̤
0.000462963	œ̤
0.000462963	rᶣ
0.000462963	e̥ː
0.000462963	m̪
0.000462963	e̥
0.000462963	p̪
0.000462963	ᶑʼː
0.000462963	n̠t̠ʃʷ
0.000462963	nˤ
0.000462963	nˤː
0.000462963	rʼː
0.000462963	lʼː
0.000462963	rʼ
0.000462963	ɡɓ
0.000462963	ˀy
0.000462963	ʔw
0.000462963	dʼkxʼ
0.000462963	d̪ʼkxʼ
0.000462963	eˤ
0.000462963	ɢʰ
0.000462963	kʘxʼ
0.000462963	ɢʘ
0.000462963	ɡǂqʰ
0.000462963	ŋʘ
0.000462963	ɡǀkxʼ
0.000462963	qǀʼ
0.000462963	qʘ
0.000462963	qǀʰ
0.000462963	ˀnʘ
0.000462963	ŋ̥ʘ
0.000462963	ɴɢǀqʰ
0.000462963	kǂxʼ
0.000462963	ɡǃkxʼ
0.000462963	ɡʘqʰ
0.000462963	ɡǀqʰ
0.000462963	o̰ʰ
0.000462963	qʘʰ
0.000462963	ɡǂkxʼ
0.000462963	ŋ̥ǀ
0.000462963	qʘʼ
0.000462963	pʼkxʼ
0.000462963	d̪x
0.000462963	tʼkxʼ
0.000462963	ɴɢǁqʰ
0.000462963	ṵʰ
0.000462963	qǂʰ
0.000462963	qǂʼ
0.000462963	ɡǃqʰ
0.000462963	ɡʘkxʼ
0.000462963	ɡǁkxʼ
0.000462963	t̪ʼkxʼ
0.000462963	ɡǁqʰ
0.000462963	kʘʼ
0.000462963	kǂʼ
0.000462963	kʘʰ
0.000462963	ɴɢǃqʰ
0.000462963	qǁʰ
0.000462963	qǁʼ
0.000462963	ɡʘx
0.000462963	ɢǀ
0.000462963	ɢǁ
0.000462963	ɢǂ
0.000462963	ɢǃ
0.000462963	ɡʘ
0.000462963	a̰ʰ
0.000462963	t̪x
0.000462963	ɡʼkxʼ
0.000462963	qǃʰ
0.000462963	ˀnǁ
0.000462963	ˀnǀ
0.000462963	ˀnǃ
0.000462963	ˀnǂ
0.000462963	ŋ̥ǂ
0.000462963	ŋ̥ǁ
0.000462963	qǃʼ
0.000462963	qǁ
0.000462963	qǀ
0.000462963	qǃ
0.000462963	qǂ
0.000462963	kʘx
0.000462963	ŋǃǃʰ
0.000462963	kǃǃʼ
0.000462963	kǃǃʰ
0.000462963	qm
0.000462963	kǃǃ
0.000462963	ɡǀxʼ
0.000462963	ɡǃǃʰ
0.000462963	kǃǃx
0.000462963	d̠ʒxʼ
0.000462963	kǁʼʰ
0.000462963	õˤ
0.000462963	ɡǃʰ
0.000462963	ɡǃxʼ
0.000462963	qn
0.000462963	ʼŋǃ
0.000462963	ʼŋǀ
0.000462963	ɡǃǃxʼ
0.000462963	ŋǀʰ
0.000462963	ʼn
0.000462963	ʼm
0.000462963	kǃǃxʼ
0.000462963	kǀʰʼ
0.000462963	tʰʼ
0.000462963	ŋǃʰ
0.000462963	kǃǃʰʼ
0.000462963	ɡǀʰ
0.000462963	ɡǃǃ
0.000462963	ũˤ
0.000462963	ɡǃǃx
0.000462963	t̠ʃx
0.000462963	kǃʰʼ
0.000462963	ɡǁxʼ
0.000462963	ŋǃǃ
0.000462963	pɸ
0.000462963	ŋʰ
0.000462963	nθ
0.000462963	˥˨˧
0.000462963	˧˥˨
0.000462963	ɒ̃ː
0.000462963	t̪ʃ
0.000462963	ɪ̝
0.000462963	øɘ
0.000462963	eɘ
0.000462963	œu
0.000462963	œi
0.000462963	oɘ
0.000462963	ɘi
0.000462963	ɪ̝ː
0.000462963	hʼ
0.000462963	b͉
0.000462963	ˀb͉
0.000462963	q̚
0.000462963	ɡbr
0.000462963	kpr
0.000462963	ðː
0.000462963	ʈɽ
0.000462963	ɳɖɽ
0.000462963	ɖɽ
0.000462963	r̪ː
0.000462963	ɸː
0.000462963	ɸʰ